fid,date,month,accident_year,day_of_week,time,light_conditions,weather_conditions,accident_severity
1,4,1,2023,4,8,1,1,3
2,6,1,2023,6,16.66666667,4,1,3
3,9,1,2023,2,7.716666667,1,1,2
4,12,1,2023,5,15.58333333,1,1,3
5,13,1,2023,6,16.06666667,1,1,3
6,12,1,2023,5,16.6,1,1,3
7,15,1,2023,1,15.83333333,1,1,3
8,16,1,2023,2,11.4,1,4,3
9,17,1,2023,3,11.95,1,1,3
10,17,1,2023,3,19.95,4,1,3
11,19,1,2023,5,8.083333333,1,1,3
12,19,1,2023,5,15.75,1,1,3
13,19,1,2023,5,16.83333333,4,8,3
14,23,1,2023,2,14.81666667,1,1,3
15,26,1,2023,5,10.91666667,1,1,2
16,26,1,2023,5,11.33333333,1,1,3
17,27,1,2023,6,20.25,4,1,3
18,29,1,2023,1,13.5,1,1,3
19,28,1,2023,7,12.25,1,1,3
20,30,1,2023,2,14,1,1,3
21,1,2,2023,4,17.86666667,6,1,2
22,1,2,2023,4,15,1,1,2
23,5,2,2023,1,13.33333333,1,1,3
24,6,2,2023,2,7,4,1,3
25,6,2,2023,2,16.58333333,1,1,3
26,6,2,2023,2,21.41666667,4,1,3
27,3,2,2023,6,12.08333333,4,1,3
28,7,2,2023,3,15.25,1,1,3
29,7,2,2023,3,23.76666667,4,1,3
30,8,2,2023,4,13.61666667,1,1,3
31,20,1,2023,6,17.5,4,1,3
32,13,2,2023,2,19.75,4,1,3
33,8,2,2023,4,18.75,4,1,3
34,14,2,2023,3,16.16666667,1,1,3
35,15,2,2023,4,15.66666667,1,1,2
36,16,2,2023,5,19.16666667,4,1,3
37,16,2,2023,5,20.6,4,1,3
38,16,2,2023,5,10,4,1,3
39,19,2,2023,1,12.33333333,1,1,2
40,19,2,2023,1,16.03333333,1,1,3
41,21,2,2023,3,19.83333333,4,1,3
42,22,2,2023,4,4.533333333,4,2,3
43,22,2,2023,4,8.133333333,1,2,3
44,15,2,2023,4,7.083333333,4,1,3
45,22,2,2023,4,19.16666667,4,1,2
46,24,2,2023,6,19.5,4,1,3
47,25,2,2023,7,14.83333333,1,1,3
48,27,2,2023,2,19.25,4,1,3
49,28,2,2023,3,8.583333333,1,8,3
50,28,2,2023,3,7.716666667,1,1,3
51,1,3,2023,4,6.083333333,4,1,3
52,1,3,2023,4,8,1,1,3
53,1,3,2023,4,12,1,1,3
54,1,3,2023,4,13.9,1,1,3
55,2,3,2023,5,20.91666667,4,8,3
56,4,3,2023,7,2.75,7,1,2
57,4,3,2023,7,23.88333333,4,1,2
58,5,3,2023,1,12.75,1,1,3
59,7,3,2023,3,8.416666667,1,1,3
60,8,3,2023,4,17.71666667,4,2,2
61,8,3,2023,4,16.83333333,1,2,3
62,9,3,2023,5,9.666666667,1,5,3
63,9,3,2023,5,19.26666667,4,2,2
64,11,3,2023,7,4.75,4,1,3
65,11,3,2023,7,18.33333333,4,2,3
66,13,3,2023,2,15.63333333,1,1,3
67,15,3,2023,4,13.33333333,1,1,2
68,15,3,2023,4,17.33333333,1,2,3
69,17,3,2023,6,8.333333333,1,2,3
70,17,3,2023,6,16,1,4,3
71,17,3,2023,6,17,1,1,3
72,17,3,2023,6,19.5,4,1,3
73,18,2,2023,7,17,1,1,3
74,22,3,2023,4,16.83333333,1,1,3
75,15,3,2023,4,14,1,1,3
76,23,3,2023,5,18,7,1,3
77,24,3,2023,6,20.16666667,4,2,3
78,24,3,2023,6,19.33333333,4,1,3
79,25,3,2023,7,13.33333333,1,1,3
80,27,3,2023,2,8.166666667,1,1,3
81,30,3,2023,5,19.23333333,1,1,2
82,1,4,2023,7,16.73333333,1,1,3
83,1,4,2023,7,17.33333333,1,1,3
84,2,4,2023,1,10.58333333,1,1,3
85,3,4,2023,2,16.4,1,1,3
86,3,4,2023,2,17.16666667,1,8,3
87,16,2,2023,5,0.583333333,7,9,3
88,5,4,2023,4,16,1,1,3
89,11,4,2023,3,12.08333333,1,1,3
90,11,4,2023,3,9.5,1,1,2
91,12,4,2023,4,20.88333333,4,2,2
92,13,4,2023,5,15.5,1,1,3
93,14,4,2023,6,12.33333333,1,2,3
94,14,4,2023,6,18.2,1,1,3
95,15,4,2023,7,9,1,1,2
96,19,4,2023,4,20.91666667,4,1,2
97,20,4,2023,5,13.9,1,1,2
98,21,4,2023,6,16.5,1,1,3
99,22,4,2023,7,17.36666667,1,1,2
100,23,4,2023,1,16.25,1,1,3
101,25,4,2023,3,11.55,1,1,3
102,24,4,2023,2,16.05,1,2,2
103,2,3,2023,5,7.333333333,1,1,2
104,27,4,2023,5,15.75,1,2,3
105,27,4,2023,5,19.1,1,2,3
106,28,4,2023,6,15.75,1,1,3
107,29,4,2023,7,20.25,1,1,2
108,29,4,2023,7,22.5,4,1,3
109,2,5,2023,3,12.33333333,1,1,3
110,3,5,2023,4,7.166666667,1,8,3
111,3,5,2023,4,9.25,1,1,3
112,3,5,2023,4,18.38333333,1,1,3
113,4,5,2023,5,14.95,1,1,2
114,4,5,2023,5,17.71666667,1,1,3
115,4,5,2023,5,19.03333333,1,1,3
116,5,5,2023,6,18.51666667,1,1,2
117,4,5,2023,5,21.75,1,1,3
118,6,5,2023,7,13,1,2,3
119,7,5,2023,1,8.25,1,1,3
120,10,5,2023,4,8.75,1,1,3
121,10,5,2023,4,14.81666667,1,2,3
122,7,5,2023,1,19,1,1,3
123,11,5,2023,5,20.5,7,2,2
124,13,5,2023,7,7.5,1,1,2
125,15,5,2023,2,14,1,1,3
126,16,5,2023,3,8.9,1,1,3
127,16,5,2023,3,20.25,1,1,3
128,17,5,2023,4,9.75,1,1,3
129,17,5,2023,4,17.08333333,1,1,3
130,16,5,2023,3,8.233333333,1,1,2
131,19,5,2023,6,23.5,7,9,3
132,20,5,2023,7,8.083333333,1,9,3
133,23,5,2023,3,13.5,1,1,3
134,25,5,2023,5,8.966666667,1,1,3
135,19,5,2023,6,20.5,1,2,3
136,26,5,2023,6,19,1,1,3
137,26,5,2023,6,19.41666667,1,1,3
138,26,5,2023,6,16.75,1,1,3
139,27,5,2023,7,16.8,1,1,3
140,27,5,2023,7,17,1,1,3
141,27,5,2023,7,15,1,8,3
142,2,6,2023,6,10.16666667,1,1,2
143,3,6,2023,7,16.08333333,1,1,3
144,3,6,2023,7,19.7,1,1,3
145,6,6,2023,3,8.85,1,1,2
146,6,6,2023,3,13.58333333,1,1,3
147,6,6,2023,3,17.95,1,8,2
148,7,6,2023,4,8.333333333,1,1,3
149,8,6,2023,5,6.833333333,1,1,3
150,9,6,2023,6,18.5,1,1,2
151,11,6,2023,1,1.716666667,4,1,3
152,11,6,2023,1,12.03333333,1,1,3
153,14,6,2023,4,14.41666667,1,1,3
154,14,6,2023,4,18,1,9,3
155,14,6,2023,4,16.41666667,1,1,3
156,15,6,2023,5,18.51666667,1,1,3
157,15,6,2023,5,19.66666667,1,1,2
158,16,6,2023,6,7.75,1,1,3
159,8,6,2023,5,19.25,1,1,3
160,16,6,2023,6,21.5,4,1,2
161,16,6,2023,6,20.25,1,1,3
162,17,6,2023,7,17.5,1,1,3
163,20,6,2023,3,12.66666667,1,1,3
164,16,6,2023,6,13.13333333,1,1,3
165,24,6,2023,7,6.366666667,1,1,1
166,25,6,2023,1,17.5,1,1,3
167,26,6,2023,2,7,1,1,3
168,26,6,2023,2,18.5,1,1,2
169,27,6,2023,3,14.16666667,1,1,2
170,27,6,2023,3,17,1,1,3
171,28,6,2023,4,11.66666667,1,1,3
172,27,6,2023,3,17,1,1,3
173,29,6,2023,5,20.35,1,1,3
174,2,7,2023,1,15.33333333,4,1,2
175,3,7,2023,2,12.75,1,1,2
176,4,7,2023,3,3.7,7,1,1
177,7,7,2023,6,13.58333333,1,1,3
178,8,7,2023,7,13.66666667,1,2,3
179,8,7,2023,7,23,4,1,3
180,9,7,2023,1,13.16666667,1,1,3
181,7,7,2023,6,16.5,1,9,3
182,10,7,2023,2,9.166666667,1,1,3
183,10,7,2023,2,13.1,1,1,2
184,13,7,2023,5,1.066666667,1,1,3
185,14,7,2023,6,10.36666667,1,2,3
186,16,7,2023,1,17.75,1,1,3
187,18,7,2023,3,15,1,8,3
188,17,7,2023,2,7.333333333,1,1,3
189,19,7,2023,4,12.33333333,1,1,2
190,15,7,2023,7,19.16666667,1,9,3
191,20,7,2023,5,18.91666667,1,1,3
192,20,7,2023,5,13.25,1,1,3
193,20,7,2023,5,15.25,1,1,3
194,21,7,2023,6,10.75,1,1,2
195,21,7,2023,6,21.33333333,6,1,2
196,22,7,2023,7,15.6,1,2,3
197,23,7,2023,1,19.91666667,1,1,3
198,26,7,2023,4,8.5,1,1,3
199,25,6,2023,1,12.65,1,1,3
200,27,7,2023,5,11.43333333,1,1,3
201,28,7,2023,6,17.41666667,1,1,3
202,30,7,2023,1,15,1,2,3
203,3,8,2023,5,23.41666667,4,1,3
204,4,8,2023,6,13.23333333,1,1,3
205,4,8,2023,6,12.36666667,1,1,3
206,2,8,2023,4,6.733333333,1,2,3
207,5,8,2023,7,1.466666667,6,1,2
208,7,8,2023,2,16.36666667,1,1,3
209,9,8,2023,4,17.66666667,1,1,3
210,9,8,2023,4,14.13333333,1,8,3
211,20,7,2023,5,11,1,1,3
212,12,8,2023,7,10.98333333,1,1,3
213,14,8,2023,2,9.833333333,1,1,2
214,14,8,2023,2,10.75,1,1,3
215,15,8,2023,3,16,1,1,3
216,18,8,2023,6,22.26666667,4,2,3
217,20,8,2023,1,17.78333333,1,1,3
218,19,8,2023,7,18.33333333,1,1,3
219,17,8,2023,5,17.86666667,1,9,3
220,10,7,2023,2,11.11666667,1,1,3
221,26,8,2023,7,19.5,1,1,3
222,27,8,2023,1,7.766666667,1,1,3
223,28,8,2023,2,11.13333333,1,1,2
224,28,8,2023,2,11.08333333,1,1,3
225,28,8,2023,2,15.5,1,1,3
226,30,8,2023,4,18.16666667,1,1,3
227,31,8,2023,5,19.75,4,1,3
228,5,9,2023,3,13,1,1,2
229,5,9,2023,3,15.83333333,1,1,3
230,6,9,2023,4,8.666666667,1,1,3
231,1,9,2023,6,12,1,1,3
232,9,9,2023,7,12.1,1,1,3
233,9,9,2023,7,15.66666667,1,1,3
234,9,9,2023,7,16.5,1,1,2
235,9,9,2023,7,15.38333333,1,1,3
236,7,9,2023,5,9.9,1,1,3
237,11,9,2023,2,12.58333333,1,1,3
238,11,9,2023,2,12.93333333,1,1,3
239,10,9,2023,1,13.66666667,1,1,3
240,12,9,2023,3,21.63333333,4,1,1
241,12,9,2023,3,22,7,1,3
242,18,9,2023,2,6.333333333,1,1,2
243,17,9,2023,1,10,1,9,3
244,19,9,2023,3,11.66666667,1,9,3
245,20,9,2023,4,13.73333333,1,2,3
246,21,9,2023,5,7.666666667,1,1,2
247,23,9,2023,7,17.28333333,1,1,3
248,23,9,2023,7,22.23333333,4,1,3
249,27,9,2023,4,15.15,1,1,3
250,27,9,2023,4,18.16666667,1,1,3
251,28,9,2023,5,7.516666667,1,1,2
252,29,9,2023,6,6.7,4,2,3
253,30,9,2023,7,5.5,4,1,3
254,1,10,2023,1,12.58333333,1,1,3
255,3,10,2023,3,8.833333333,1,1,2
256,4,10,2023,4,20.43333333,4,1,2
257,6,10,2023,6,17,1,1,2
258,6,10,2023,6,19.83333333,4,1,3
259,21,9,2023,5,9.466666667,1,1,3
260,10,10,2023,3,16.58333333,1,1,3
261,6,10,2023,6,23,7,9,3
262,9,10,2023,2,5.25,4,1,3
263,12,10,2023,5,11.11666667,1,2,2
264,13,10,2023,6,8.733333333,1,2,3
265,13,10,2023,6,19.16666667,4,2,3
266,16,10,2023,2,8.5,1,1,2
267,16,10,2023,2,8.333333333,1,1,2
268,16,10,2023,2,17.61666667,1,1,3
269,17,10,2023,3,7.25,1,1,2
270,18,10,2023,4,7.733333333,1,1,3
271,19,10,2023,5,8.5,1,2,3
272,19,10,2023,5,20,4,2,2
273,19,10,2023,5,13,1,1,3
274,20,10,2023,6,16.5,1,1,3
275,20,10,2023,6,6.833333333,4,1,3
276,20,10,2023,6,16,1,1,2
277,21,10,2023,7,16.66666667,1,2,3
278,22,10,2023,1,9.666666667,1,1,2
279,22,10,2023,1,11.3,1,2,3
280,24,10,2023,3,17,1,2,2
281,25,10,2023,4,14.91666667,1,1,3
282,23,10,2023,2,14.81666667,1,1,3
283,25,10,2023,4,7.833333333,1,1,3
284,19,10,2023,5,18,1,1,3
285,29,10,2023,1,13.75,1,2,3
286,1,11,2023,4,11.31666667,1,2,1
287,2,11,2023,5,8,1,2,3
288,1,11,2023,4,18.66666667,4,2,3
289,3,11,2023,6,10.5,1,8,3
290,2,11,2023,5,16.75,1,1,3
291,3,11,2023,6,12.96666667,1,1,3
292,5,11,2023,1,12.33333333,1,1,3
293,7,11,2023,3,9.75,1,1,3
294,7,11,2023,3,18.21666667,4,1,2
295,8,11,2023,4,18.33333333,4,2,3
296,9,11,2023,5,10.03333333,1,1,3
297,10,11,2023,6,15.5,4,8,3
